,y_test,pred_labels,is_incorrect,SNII,SNIa,SNIbc,max_prob,is_low_prob
31447,SNIbc,SNIbc,False,2.911545544527981e-07,0.010005839481471093,0.9899938693639745,0.9899938693639745,False
31678,SNIbc,SNII,True,0.8574943319589047,0.003112915375321994,0.13939275266577333,0.8574943319589047,False
4770,SNIa,SNIa,False,0.0031685620005700026,0.9953038978105543,0.0015275401888755866,0.9953038978105543,False
40651,SNII,SNII,False,0.8938733095526067,0.01523370142183338,0.09089298902555996,0.8938733095526067,False
35690,SNIbc,SNIbc,False,0.05457860224020537,0.00339525198952416,0.9420261457702704,0.9420261457702704,False
38510,SNII,SNII,False,0.6488396615230105,0.014228623836218592,0.33693171464077093,0.6488396615230105,False
42838,SNII,SNII,False,0.667115998482848,0.020513478654478043,0.312370522862674,0.667115998482848,False
25579,SNIbc,SNIbc,False,0.013447776062769099,0.006115741746998989,0.9804364821902319,0.9804364821902319,False
20538,SNIbc,SNII,True,0.6724101294584539,0.004958196072313293,0.32263167446923274,0.6724101294584539,False
30301,SNIbc,SNIbc,False,0.21401177181720255,0.009373263069303197,0.7766149651134943,0.7766149651134943,False
4431,SNIa,SNIa,False,1.1024647837967966e-19,1.0,1.8538987614169955e-19,1.0,False
47514,SNII,SNIbc,True,0.3256510049977826,0.013819256073206948,0.6605297389290105,0.6605297389290105,False
35487,SNIbc,SNIbc,False,0.4067033768296409,0.01837237261785657,0.5749242505525026,0.5749242505525026,False
48862,SNII,SNIbc,True,0.45604866454702847,0.012222939010208437,0.5317283964427632,0.5317283964427632,False
35730,SNIbc,SNIbc,False,0.3132302694094495,0.005507986432496569,0.681261744158054,0.681261744158054,False
42498,SNII,SNII,False,0.797359969642924,0.035937441620687204,0.16670258873638885,0.797359969642924,False
39552,SNII,SNII,False,0.8315987138057479,0.005208286119526015,0.16319300007472615,0.8315987138057479,False
26658,SNIbc,SNIbc,False,0.25595710432484453,0.004164091534686134,0.7398788041404694,0.7398788041404694,False
44812,SNII,SNIbc,True,0.4753075184755714,0.00547336723465746,0.5192191142897712,0.5192191142897712,False
45445,SNII,SNII,False,0.775207986521446,0.0036074562612764243,0.22118455721727773,0.775207986521446,False
7714,SNIa,SNIa,False,6.721690937389402e-130,1.0,2.3780674849899203e-133,1.0,False
37950,SNII,SNII,False,0.6795530541744512,0.0064850317169908465,0.3139619141085579,0.6795530541744512,False
18325,SNIa,SNIa,False,1.489495227710174e-62,1.0,2.463954623620658e-63,1.0,False
12252,SNIa,SNIa,False,1.4211647024431669e-15,0.999999999999998,6.179498878789306e-16,0.999999999999998,False
5266,SNIa,SNIa,False,5.9182240688419534e-52,1.0,7.50129176885114e-52,1.0,False
9051,SNIa,SNIa,False,5.3911947105284e-15,0.9999999999999933,1.3201757731743765e-15,0.9999999999999933,False
15935,SNIa,SNIa,False,9.12712371869252e-26,1.0,4.925182035063414e-27,1.0,False
10659,SNIa,SNIa,False,2.1978084307782987e-08,0.9999999378799972,4.0141918646383895e-08,0.9999999378799972,False
37626,SNII,SNII,False,0.713040984802548,0.012277706130874795,0.27468130906657734,0.713040984802548,False
2244,SNIa,SNIa,False,1.310622136891081e-10,0.9999999998449556,2.3982086439826805e-11,0.9999999998449556,False
767,SNIa,SNIa,False,2.757768830901225e-13,0.999999999999692,3.212283162294467e-14,0.999999999999692,False
48843,SNII,SNII,False,0.9029298183211456,0.005145631504636771,0.0919245501742176,0.9029298183211456,False
7436,SNIa,SNIa,False,1.107619651689539e-246,1.0,1.2928429720687805e-251,1.0,False
44558,SNII,SNII,False,0.7569490303463849,0.014881330041518712,0.22816963961209635,0.7569490303463849,False
19831,SNIbc,SNIbc,False,0.32072530313974906,0.0066065942918365475,0.6726681025684145,0.6726681025684145,False
22298,SNIbc,SNIbc,False,0.33367812962177784,0.1474187263216946,0.5189031440565276,0.5189031440565276,False
40326,SNII,SNIbc,True,0.43057367348496217,0.006974045218342172,0.5624522812966957,0.5624522812966957,False
26338,SNIbc,SNIbc,False,0.3988929304959048,0.09201071899973938,0.5090963505043559,0.5090963505043559,False
26240,SNIbc,SNIbc,False,0.13063285421608398,0.000618455262711941,0.8687486905212041,0.8687486905212041,False
42097,SNII,SNII,False,0.7565769141285976,0.004181707836882171,0.23924137803452025,0.7565769141285976,False
50619,SNII,SNIbc,True,0.3725374412719094,0.10433888591122903,0.5231236728168615,0.5231236728168615,False
34764,SNIbc,SNII,True,0.5900423565741703,0.010493865882153602,0.3994637775436762,0.5900423565741703,False
34009,SNIbc,SNII,True,0.5473273461760878,0.009548963991074747,0.44312368983283745,0.5473273461760878,False
26903,SNIbc,SNIbc,False,0.19976800535937614,0.14684840034211558,0.6533835942985083,0.6533835942985083,False
44141,SNII,SNII,False,0.7310617709829322,0.010850359114066371,0.2580878699030013,0.7310617709829322,False
18767,SNIa,SNIa,False,9.735063434665717e-21,1.0,8.409710925000698e-22,1.0,False
45146,SNII,SNII,False,0.5861306598229985,0.002864031667833448,0.411005308509168,0.5861306598229985,False
5626,SNIa,SNIa,False,6.940231951909744e-202,1.0,5.366502894261067e-190,1.0,False
23682,SNIbc,SNIbc,False,0.23807057949576232,0.006254451202443371,0.7556749693017943,0.7556749693017943,False
35062,SNIbc,SNIbc,False,0.23671044523810114,0.006288233495195861,0.7570013212667029,0.7570013212667029,False
50779,SNII,SNII,False,0.7150111493205336,0.010004644740693944,0.2749842059387726,0.7150111493205336,False
21519,SNIbc,SNIbc,False,0.4779905006684797,0.022676846957820036,0.4993326523737004,0.4993326523737004,True
29475,SNIbc,SNIbc,False,0.2694469873165421,0.0021602357705904503,0.7283927769128675,0.7283927769128675,False
33606,SNIbc,SNII,True,0.5281675186521677,0.009353709520617183,0.46247877182721514,0.5281675186521677,False
49841,SNII,SNII,False,0.8010072342784986,0.00882360284256644,0.1901691628789349,0.8010072342784986,False
33394,SNIbc,SNIbc,False,0.31168005148931116,0.004379641815465698,0.6839403066952231,0.6839403066952231,False
43165,SNII,SNII,False,0.8437248352367126,0.0027902846124881046,0.15348488015079925,0.8437248352367126,False
39866,SNII,SNIbc,True,0.13384313763416547,0.0030575823923913357,0.8630992799734432,0.8630992799734432,False
48778,SNII,SNII,False,0.5431711896107769,0.007768052666358641,0.4490607577228644,0.5431711896107769,False
